Source,Target,Type
1527330,715699,Undirected
1527330,1011268,Undirected
1527330,1190756,Undirected
1527330,1231149,Undirected
1527330,1261883,Undirected
1527330,1527326,Undirected
1527330,1527327,Undirected
1527330,1527328,Undirected
1527330,1527329,Undirected
1529130,1520,Undirected
1529130,48640,Undirected
1529130,80706,Undirected
1529130,233554,Undirected
1529130,311418,Undirected
1529130,322305,Undirected
1529130,427160,Undirected
1529130,441105,Undirected
1529130,622811,Undirected
1529130,813142,Undirected
1529130,848352,Undirected
1529130,916946,Undirected
1529130,975852,Undirected
1529130,1085273,Undirected
1529130,1129570,Undirected
1529130,1190348,Undirected
1529130,1389708,Undirected
1529130,1496049,Undirected
1529130,1529128,Undirected
1529130,1529129,Undirected
1543000,1467858,Undirected
1543000,1537113,Undirected
1543000,1539756,Undirected
1546100,999530,Undirected
1546100,1207389,Undirected
1546100,1217513,Undirected
1546100,1217806,Undirected
1546100,1285371,Undirected
1546100,1296527,Undirected
1546100,1298696,Undirected
1546100,1361413,Undirected
1546100,1392465,Undirected
1546100,1394908,Undirected
1546100,1401888,Undirected
1546100,1414398,Undirected
1546100,1414954,Undirected
1546100,1420131,Undirected
1546100,1420718,Undirected
1546100,1425452,Undirected
1546100,1430141,Undirected
1546100,1430142,Undirected
1546100,1438834,Undirected
1546100,1443510,Undirected
1546100,1443844,Undirected
1546100,1445672,Undirected
1546100,1445684,Undirected
1546100,1453134,Undirected
1546100,1455573,Undirected
1546100,1465977,Undirected
1546100,1466029,Undirected
1546100,1473482,Undirected
1546100,1479094,Undirected
1546100,1480654,Undirected
1546100,1488471,Undirected
1546100,1512878,Undirected
1546100,1513021,Undirected
1546100,1514220,Undirected
1546100,1522771,Undirected
1546100,1526781,Undirected
1546100,1527327,Undirected
1546100,1527469,Undirected
1546100,1528259,Undirected
1546100,1529598,Undirected
1546100,1530187,Undirected
1546100,1546093,Undirected
1546100,1546094,Undirected
1546100,1546095,Undirected
1546100,1546096,Undirected
1546100,1546097,Undirected
1546100,1546098,Undirected
1546100,1546099,Undirected
1547760,916394,Undirected
1547760,1084262,Undirected
1547760,1350328,Undirected
1547760,1467858,Undirected
1547760,1511952,Undirected
1547760,1537113,Undirected
1547760,1539718,Undirected
1547760,1539756,Undirected
1547760,1539793,Undirected
1547760,1543000,Undirected
1547760,1547755,Undirected
1547760,1547756,Undirected
1547760,1547757,Undirected
1547760,1547758,Undirected
1547760,1547759,Undirected
1550950,297382,Undirected
1550950,433766,Undirected
1550950,647953,Undirected
1550950,649389,Undirected
1550950,653222,Undirected
1550950,749519,Undirected
1550950,778702,Undirected
1550950,786446,Undirected
1550950,1035548,Undirected
1550950,1425963,Undirected
1550950,1550948,Undirected
1550950,1550949,Undirected
1552150,107167,Undirected
1552150,124674,Undirected
1552150,126089,Undirected
1552150,216390,Undirected
1552150,261753,Undirected
1552150,306380,Undirected
1552150,322305,Undirected
1552150,427160,Undirected
1552150,441105,Undirected
1552150,725907,Undirected
1552150,847599,Undirected
1552150,848724,Undirected
1552150,1095496,Undirected
1552150,1190348,Undirected
1552150,1360880,Undirected
1552150,1496049,Undirected
1552150,1529130,Undirected
1552150,1552148,Undirected
1552150,1552149,Undirected
1561450,905936,Undirected
1561450,1182328,Undirected
1561450,1205816,Undirected
1561450,1309076,Undirected
1561450,1324623,Undirected
1561450,1372631,Undirected
1561450,1391579,Undirected
1561450,1395729,Undirected
1561450,1396231,Undirected
1561450,1414954,Undirected
1561450,1420161,Undirected
1561450,1421765,Undirected
1561450,1440589,Undirected
1561450,1443510,Undirected
1561450,1445672,Undirected
1561450,1449510,Undirected
1561450,1451838,Undirected
1561450,1453134,Undirected
1561450,1474478,Undirected
1561450,1476385,Undirected
1561450,1480654,Undirected
1561450,1499308,Undirected
1561450,1512878,Undirected
1561450,1516619,Undirected
1561450,1521794,Undirected
1561450,1533282,Undirected
1561450,1539519,Undirected
1561450,1551877,Undirected
1561450,1553354,Undirected
1565210,999530,Undirected
1565210,1135179,Undirected
1565210,1217513,Undirected
1565210,1217806,Undirected
1565210,1263775,Undirected
1565210,1285371,Undirected
1565210,1298696,Undirected
1565210,1372631,Undirected
1565210,1376922,Undirected
1565210,1392458,Undirected
1565210,1414398,Undirected
1565210,1420718,Undirected
1565210,1423316,Undirected
1565210,1443844,Undirected
1565210,1445672,Undirected
1565210,1455573,Undirected
1565210,1473184,Undirected
1565210,1478716,Undirected
1565210,1479094,Undirected
1565210,1480654,Undirected
1565210,1512878,Undirected
1565210,1513021,Undirected
1565210,1526781,Undirected
1565210,1527327,Undirected
1565210,1528259,Undirected
1565210,1529133,Undirected
1565210,1529598,Undirected
1565210,1545456,Undirected
1565210,1546100,Undirected
1565210,1565208,Undirected
1565210,1565209,Undirected
1575330,1467858,Undirected
1575330,1537113,Undirected
1575330,1539756,Undirected
1575330,1543000,Undirected
1575330,1547760,Undirected
1575600,355448,Undirected
1585200,48493,Undirected
1585200,56660,Undirected
1585200,91842,Undirected
1585200,541513,Undirected
1585200,1023762,Undirected
1591260,1591259,Undirected
1591750,905936,Undirected
1591750,1182328,Undirected
1591750,1205816,Undirected
1591750,1298696,Undirected
1591750,1309076,Undirected
1591750,1324623,Undirected
1591750,1372631,Undirected
1591750,1391579,Undirected
1591750,1414954,Undirected
1591750,1420161,Undirected
1591750,1421765,Undirected
1591750,1440589,Undirected
1591750,1443510,Undirected
1591750,1445672,Undirected
1591750,1451838,Undirected
1591750,1453134,Undirected
1591750,1474478,Undirected
1591750,1476385,Undirected
1591750,1478716,Undirected
1591750,1480654,Undirected
1591750,1499308,Undirected
1591750,1512878,Undirected
